name,lat,lng
Sungei Bedok,1.32139,103.958909
Choa Chu Kang West,1.379156,103.739997
Jurong West,1.349249,103.708407
Tukang,1.325422,103.709162
Toh Guan,1.339882,103.742547
Jurong East,1.333144,103.74234
Canberra,1.443039,103.829663
Tengah Plantation,1.357382,103.733396
Defu,1.36213,103.898364
Loyang,1.371338,103.972189
Tavistock,,
Simei,1.343168,103.953358
Kent Ridge,1.29346,103.78463
Redhill,1.289358,103.816991
Woodlands,1.436916,103.786481
Tiong Bahru,1.285734,103.826941
Woodlands North,1.44787,103.785417
Woodlands South,1.427351,103.793148
Outram Park,1.281444,103.839137
Brickland,1.368436,103.749563
Mount Pleasant,1.328691,103.835489
Bright Hill,1.362733,103.832243
Havelock,1.2902,103.83322
Pioneer,1.337642,103.696899
Cantonment,1.272953,103.837773
Pandan Reservoir,1.320553,103.744759
Botanic Gardens,1.322312,103.814927
Katong Park,1.297635,103.886977
MacPherson,1.326712,103.889985
Mattar,1.326846,103.883305
Telok Blangah,1.270728,103.809879
Boon Keng,1.320038,103.861623
Buona Vista,1.307212,103.790599
Bendemeer,1.313572,103.863259
Cashew,1.369947,103.764547
Hillview,1.362222,103.767074
Bayfront,1.281339,103.858955
Sixth Avenue,1.331566,103.796976
Sengkang,1.3917,103.895456
Serangoon,1.349962,103.873413
Hougang,1.371609,103.892968
Stevens,1.319928,103.826153
Aljunied,1.31643,103.88291
Expo,1.334437,103.9616
Tan Kah Kee,1.325607,103.807918
Upper Thomson,1.353974,103.833817
Paya Lebar,1.318161,103.893144
Orchard,1.30367,103.83179
Dhoby Ghaut,1.298947,103.845492
Bras Basah,1.297654,103.850506
Little India,1.3068,103.84965
Jalan Besar,1.305652,103.855319
Rochor,1.303622,103.852657
Ang Mo Kio,1.369266,103.850179
Buangkok,1.382983,103.893356
Punggol,1.40517,103.902356
Lorong Chuan,1.351509,103.864719
Kovan,1.359746,103.884278
Tai Seng,1.335876,103.887716
Tampines,1.353317,103.945221
Tanah Merah,1.327244,103.94649
Kembangan,1.321,103.912904
Mountbatten,1.306084,103.883153
Toa Payoh,1.33233,103.847425
Braddell,1.340679,103.847216
Hong Kah,1.353098,103.720537
one-north,1.299811,103.787595
Pasir Ris East,1.366225,103.961721
Teck Ghee,1.364522,103.843024
Serangoon North,1.370084,103.87719
Great World,1.29487,103.83335
West Coast,1.310468,103.757776
Khatib,1.417348,103.832973
Caldecott,1.337684,103.839501
Aviation Park,1.369763,104.004427
Lavender,1.307264,103.86292
Pasir Ris,1.373213,103.949277
Bishan,1.350845,103.848174
Elias,1.383115,103.939034
King Albert Park,1.335688,103.783193
Maju,,
Kallang,1.311486,103.871351
Changi Airport,1.356983,103.988227
Springleaf,1.397567,103.818356
Woodleigh,1.338765,103.870496
Jurong Lake District,1.327686,103.738682
Bahar Junction,1.345799,103.702484
Gek Poh,1.348557,103.698293
Enterprise,1.334187,103.708812
Jurong Hill,1.31857,103.710245
Jurong Pier,1.312974,103.710444
Tawas,1.350505,103.692089
Nanyang Gateway,1.353862,103.686697
Nanyang Crescent,1.348695,103.681305
Peng Kang Hill,1.342819,103.678658
Bukit Batok West,1.345522,103.739934
Jurong Town Hall,,
Founders' Memorial,1.291524,103.868625
Dakota,1.30841,103.888814
Xilin,1.329013,103.964493
Bedok Reservoir,1.33661,103.93223
Bedok North,1.335244,103.918045
Kaki Bukit,1.33492,103.908965
Beauty World,1.341702,103.77601
Ubi,1.32995,103.898989
Geylang Bahru,1.321483,103.871621
Bencoolen,1.298524,103.8499
Fort Canning,1.292436,103.844212
Tuas West Road,1.330093,103.639378
Tuas Link,1.34025,103.636719
Tuas Crescent,1.321011,103.648997
Gul Circle,1.31885,103.660368
Bedok South,,
Clementi,1.315423,103.765079
Bukit Panjang,1.379,103.76154
Tampines East,1.355582,103.955201
Marina South Pier,1.271387,103.863606
Tanjong Katong,1.29925,103.89751
Marine Parade,1.30347,103.90615
Siglap,1.30979,103.92967
Keppel,1.270499,103.830761
Prince Edward Road,1.273066,103.846914
Marine Terrace,1.30681,103.91453
Tanjong Rhu,1.29713,103.87353
Upper Changi,1.34174,103.96147
Bayshore,1.31285,103.94126
Yio Chu Kang,1.381693,103.845052
Napier,1.30597,103.81965
Queenstown,1.294207,103.806075
Haw Par Villa,1.283106,103.78198
Boon Lay,1.338428,103.705929
Pasir Panjang,1.276068,103.791904
Eunos,1.319734,103.902888
Hume,1.354508,103.769296
Mayflower,1.3729,103.836954
Dover,1.311385,103.778607
Tengah,,
Lentor,1.384416,103.83681
Maxwell,1.28077,103.84409
Shenton Way,1.27773,103.85068
Marina Bay,1.27606,103.855041
Marina South,,
Gardens by the Bay,1.27973,103.86797
Marymount,1.349014,103.839095
Telok Ayer,1.282251,103.848651
Chinatown,1.28452,103.84357
Tampines West,1.345562,103.938206
Bartley,1.342269,103.880238
Potong Pasir,1.331273,103.86879
Bukit Brown,,
Novena,1.32044,103.84383
Stadium,1.30284,103.87535
Nicoll Highway,1.300206,103.863471
Farrer Park,1.31236,103.85418
Holland Village,1.311175,103.796129
Commonwealth,1.302396,103.798316
Farrer Road,1.317598,103.80747
Labrador Park,1.27233,103.80294
HarbourFront,1.265473,103.821443
Joo Koon,1.327735,103.678321
Lakeside,1.344308,103.720864
Bukit Batok,1.349061,103.749598
Yew Tee,1.397566,103.747452
Bukit Gombak,1.35878,103.751998
Choa Chu Kang,1.384706,103.744537
Chinese Garden,1.342425,103.732592
Bedok,1.323932,103.929645
Orchard Boulevard,1.302498,103.823893
Tanjong Pagar,1.27652,103.84586
Raffles Place,1.284994,103.851723
Kranji,1.425227,103.762028
Marsiling,1.43251,103.77407
Admiralty,1.44059,103.80099
Sembawang,1.44909,103.820049
City Hall,1.293116,103.852012
Bugis,1.30017,103.856125
Somerset,1.300516,103.8385
Clarke Quay,1.28839,103.84656
Esplanade,1.294043,103.855409
Downtown,1.279455,103.852806
Promenade,1.294069,103.860271
Tengah Park,1.352286,103.736865
Corporation,1.3529,103.714072
Punggol Coast,1.41491,103.91021
Turf City,1.34092,103.794077
Newton,1.31232,103.83799
Riviera,1.394572,103.916311
Tampines North,,
Yishun,1.429443,103.835005
De1,1.400666,103.753217
Sungei Kadut,1.413333,103.748889
Changi Terminal 5,,
